iter	Passed	Remaining
612	15824	9990
613	15846	9961
614	15871	9935
615	15893	9907
616	15916	9880
617	15940	9853
618	15962	9825
619	15985	9797
620	16006	9768
621	16028	9740
622	16054	9715
623	16081	9690
624	16112	9667
625	16140	9643
626	16169	9619
627	16196	9594
628	16220	9566
629	16243	9539
630	16269	9514
631	16293	9487
632	16315	9459
633	16336	9431
634	16359	9403
635	16384	9377
636	16406	9349
637	16428	9321
638	16452	9294
639	16478	9269
640	16500	9241
641	16526	9215
642	16553	9190
643	16575	9163
644	16598	9135
645	16623	9109
646	16647	9082
647	16669	9055
648	16694	9028
649	16719	9002
650	16741	8975
651	16765	8948
652	16786	8920
653	16811	8894
654	16833	8866
655	16855	8838
656	16876	8810
657	16897	8782
658	16920	8755
659	16942	8728
660	16965	8701
661	16988	8674
662	17011	8646
663	17035	8620
664	17056	8592
665	17078	8564
666	17099	8537
667	17122	8510
668	17145	8483
669	17167	8455
670	17192	8429
671	17217	8403
672	17245	8379
673	17274	8355
674	17299	8329
675	17329	8305
676	17353	8279
677	17375	8252
678	17399	8225
679	17422	8198
680	17446	8172
681	17469	8145
682	17491	8118
683	17514	8091
684	17537	8064
685	17561	8038
686	17587	8013
687	17612	7987
688	17640	7962
689	17669	7938
690	17692	7911
691	17717	7885
692	17743	7860
693	17769	7834
694	17797	7810
695	17825	7785
696	17850	7759
697	17874	7733
698	17900	7708
699	17922	7681
700	17946	7654
701	17969	7628
702	17996	7603
703	18021	7577
704	18047	7551
705	18069	7524
706	18093	7498
707	18118	7472
708	18144	7447
709	18170	7421
710	18194	7395
711	18216	7368
712	18239	7341
713	18263	7315
714	18285	7288
715	18308	7262
716	18329	7234
717	18352	7207
718	18380	7183
719	18408	7158
720	18434	7133
721	18460	7108
722	18489	7083
723	18518	7059
724	18542	7033
725	18567	7007
726	18591	6981
727	18618	6956
728	18646	6931
729	18670	6905
730	18695	6879
731	18721	6854
732	18746	6828
733	18771	6802
734	18795	6776
735	18817	6749
736	18843	6724
737	18868	6698
738	18890	6671
739	18912	6644
740	18934	6618
741	18960	6592
742	18982	6565
743	19005	6539
744	19026	6512
745	19050	6486
746	19072	6459
747	19094	6432
748	19115	6405
749	19137	6379
750	19162	6353
751	19184	6326
752	19207	6300
753	19229	6273
754	19252	6247
755	19281	6223
756	19303	6196
757	19325	6169
758	19347	6143
759	19370	6117
760	19393	6090
761	19414	6063
762	19437	6037
763	19459	6011
764	19483	5985
765	19505	5958
766	19532	5933
767	19558	5908
768	19586	5883
769	19612	5858
770	19638	5832
771	19664	5807
772	19691	5782
773	19713	5756
774	19734	5729
775	19756	5702
776	19779	5676
777	19801	5650
778	19823	5623
779	19845	5597
780	19869	5571
781	19895	5546
782	19918	5520
783	19939	5493
784	19961	5467
785	19986	5441
786	20009	5415
787	20033	5389
788	20056	5363
789	20078	5337
790	20100	5311
791	20122	5284
792	20144	5258
793	20165	5231
794	20187	5205
795	20211	5179
796	20232	5153
797	20256	5127
798	20277	5101
799	20299	5074
800	20322	5048
801	20344	5022
802	20365	4996
803	20388	4970
804	20410	4944
805	20432	4917
806	20455	4892
807	20477	4865
808	20499	4839
809	20520	4813
810	20542	4787
811	20568	4762
812	20591	4736
813	20616	4710
814	20641	4685
815	20664	4659
816	20688	4634
817	20716	4609
818	20746	4584
819	20774	4560
820	20800	4535
821	20827	4510
822	20850	4484
823	20873	4458
824	20896	4432
825	20917	4406
826	20939	4380
827	20963	4354
828	20985	4328
829	21007	4302
830	21029	4276
831	21051	4250
832	21076	4225
833	21098	4199
834	21121	4173
835	21161	4151
836	21191	4126
837	21214	4101
838	21236	4075
839	21260	4049
840	21283	4023
841	21305	3997
842	21330	3972
843	21354	3947
844	21377	3921
845	21399	3895
846	21423	3869
847	21447	3844
848	21473	3819
849	21496	3793
850	21520	3768
851	21545	3742
852	21569	3717
853	21594	3691
854	21619	3666
855	21644	3641
856	21666	3615
857	21687	3589
858	21709	3563
859	21731	3537
860	21753	3511
861	21775	3486
862	21798	3460
863	21824	3435
864	21851	3410
865	21881	3385
866	21907	3360
867	21938	3336
868	21965	3311
869	21993	3286
870	22017	3260
871	22043	3235
872	22065	3209
873	22089	3184
874	22114	3159
875	22137	3133
876	22179	3110
877	22209	3086
878	22232	3060
879	22255	3034
880	22278	3009
881	22301	2983
882	22324	2958
883	22347	2932
884	22368	2906
885	22392	2881
886	22415	2855
887	22440	2830
888	22463	2804
889	22489	2779
890	22514	2754
891	22539	2728
892	22563	2703
893	22585	2677
894	22608	2652
895	22630	2626
896	22655	2601
897	22682	2576
898	22704	2550
899	22726	2525
900	22749	2499
901	22772	2474
902	22798	2448
903	22820	2423
904	22842	2397
905	22864	2372
906	22886	2346
907	22909	2321
908	22932	2295
909	22955	2270
910	22978	2244
911	23002	2219
912	23030	2194
913	23058	2169
914	23088	2144
915	23113	2119
916	23141	2094
917	23164	2069
918	23186	2043
919	23208	2018
920	23233	1992
921	23256	1967
922	23277	1941
923	23298	1916
924	23321	1890
925	23343	1865
926	23366	1840
927	23389	1814
928	23414	1789
929	23434	1763
930	23459	1738
931	23482	1713
932	23505	1687
933	23529	1662
934	23552	1637
935	23574	1611
936	23596	1586
937	23617	1561
938	23640	1535
939	23662	1510
940	23685	1485
941	23708	1459
942	23734	1434
943	23756	1409
944	23778	1383
945	23801	1358
946	23826	1333
947	23848	1308
948	23870	1282
949	23893	1257
950	23916	1232
951	23937	1206
952	23961	1181
953	23986	1156
954	24008	1131
955	24032	1106
956	24057	1080
957	24082	1055
958	24106	1030
959	24131	1005
960	24154	980
961	24183	955
962	24210	930
963	24238	905
964	24265	880
965	24291	854
966	24317	829
967	24340	804
968	24362	779
969	24386	754
970	24408	728
971	24430	703
972	24452	678
973	24475	653
974	24498	628
975	24521	602
976	24543	577
977	24566	552
978	24591	527
979	24616	502
980	24640	477
981	24662	452
982	24695	427
983	24721	401
984	24742	376
985	24767	351
986	24789	326
987	24813	301
988	24836	276
989	24860	251
990	24884	225
991	24908	200
992	24931	175
993	24955	150
994	24978	125
995	25001	100
996	25025	75
997	25047	50
998	25069	25
999	25092	0
